area,tag,bv_id,time,title,duration,view,danmaku,reply,favorite,coin,share,like,author_uid,author_name,author_follower,width,height,landscape
家居房产,"生活改造计划·第二期,生活改造计划",BV1qF411W7Aa,2022-03-25 17:03:06,收拾老船第17天，给这艘30年的老船换新顶！最后忙完再去做点有意义的事吧,237,1418565,1948,1721,14165,49419,584,117342,1187017154,湖家郎,156240,1080,1920,Y
家居房产,"家居,租房,生活,自制,原创,我的租房经验分享",BV1X94y1Z7XD,2022-03-24 12:00:00,“无痛躺平系列”我在广东海边，用600元租了一个月的精品海景房。,402,1262804,3154,2742,13241,8313,13441,30558,517346060,轻徙鸟,135951,3840,2160,N
家居房产,"生活改造计划·第二期,生活改造计划,别墅,出租屋改造",BV14u411B7GB,2022-03-13 13:24:53,我花了500租了栋别墅,62,1248089,482,918,3480,425,135,27494,398858452,每年达咯,13506,1080,1920,Y
家居房产,"打卡挑战,技术,QINGWOOD家具,榫卯",BV15U4y1Z7JF,2022-03-18 13:19:46,纯显示技术，与实用无关。看看QINGWOOD师傅们的手艺。,11,1181610,33,164,4208,43,37,75079,2051002739,王木小匠QINGWOOD,3880,1080,1528,Y
家居房产,"家居,出租屋改造",BV1pq4y1v7JJ,2022-03-20 18:50:24,挑战380块爆改出租屋，房东居然给我免租了！,64,1109444,113,372,2315,285,102,5439,1925977245,一粒沙的生活,16005,1920,1080,N
家居房产,"家居,原创,搞笑,图一乐,开箱,Moodmoon,满月灯,设计,墙灯,日落灯",BV1PY411J7Q6,2022-03-29 12:00:00,上头买了个1w4的纸灯，居然是全网首开?【图一乐08】,816,1038986,17442,3303,12170,47052,4808,100916,125526,-LKs-,2618672,3840,2160,N
家居房产,"鲁班,设计,装修,乡村生活,老家,父亲",BV1mZ4y1z7TN,2022-03-14 18:59:58,当代鲁班，悬浮设计。,177,988168,1461,866,3474,547,1356,62380,19797042,陈擦皮,15821,1080,1920,Y
家居房产,"心理,室内设计,装修,价值观,焦虑,智能家居,家居,ROOMTOUR,小户型,生活改造计划,生活改造计划·第二期",BV17Y41177U9,2022-04-02 18:05:00,欢迎来参观我的新家！RoomTour来啦！,159,967618,601,623,8805,3761,1189,54157,68134500,张大碗子,448913,1920,1080,N
家居房产,"地板工厂,地板,装修",BV1Tu411z7Qx,2022-03-14 21:11:01,裸板就是工厂生产的，包装上没有品牌的地板,15,909498,74,434,8087,396,177,16840,493126176,东方牛地板大牛,19119,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,生活记录,改造",BV1M44y1K7Kb,2022-03-30 17:10:36,花50块拥有了一个置物桌，这次我应该是赚了吧？！,124,905661,293,255,2155,227,133,36682,453069843,别野生活,92839,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,室内设计,微水泥,避坑,知识,生活,住范儿,建材",BV1fZ4y1r7FD,2022-03-11 18:34:05,设计师名媛都在冲的「微水泥」，又是营销新骗局？,484,885765,2798,853,4832,2825,2088,30938,454560170,住范儿,1529202,1920,1080,N
家居房产,"必剪创作,楼市,房产,房地产,租房,房价,房子,买房,卖房,买房攻略,打卡挑战",BV1z34y1877T,2022-03-16 12:53:35,降价卖自己的房子有错吗,10,861320,43,1117,700,39,146,15958,18188227,武汉买房小生,2953,1080,1920,Y
家居房产,"吐槽,生活,搞笑,知识,室内设计,装修,家居,避坑,打卡挑战,生活改造计划",BV1AP4y1u7YX,2022-03-15 12:51:46,打假300万粉的装修营销号，为了骗钱设计这么不实用的卧室。鉴定网络热门装修视频,96,859968,490,365,2568,217,275,37549,603841071,室内设计师-梁正,92408,1080,1920,Y
家居房产,"生活,搞笑,家具,装修,装修避坑,打卡挑战,家具房产,生活家过生活",BV1xU4y1o7vr,2022-03-11 18:37:05,打假网络热门装修视频-20。鉴定网络热门装修视频,88,846531,575,340,2405,190,178,33450,603841071,室内设计师-梁正,92408,1080,1920,Y
家居房产,"吐槽,生活,搞笑,装修,家居,室内装修,卧室设计,房产家居,鉴定网络热门视频,生活改造计划",BV13Z4y1U74C,2022-04-01 16:50:04,为何让三个孩子挤一个房间？这是道德的沦丧吗？鉴定网络热门装修视频,71,840827,311,861,2096,404,692,20955,603841071,室内设计师-梁正,92408,1920,1080,N
家居房产,"原创,生活,可怕,城市,房贷",BV1MF41137we,2022-04-01 10:19:59,房贷断供，你知道有多可怕么,30,800800,315,1402,2055,103,996,31192,1000727149,济南卖房的大老王,905,720,1280,Y
家居房产,"改造,卧室装修,复古风",BV15u411z7Hv,2022-03-14 15:42:31,改造复古风卧室，真是惊喜不断啊。。。,64,792312,3,5,786,45,0,753,233518301,一个疯雅的女子,36856,1920,1080,N
家居房产,"生活改造计划·第二期,居家生活小妙招,家居,装修,装修设计,水电,泥工,瓷砖,空调,门窗,硬装",BV1NT4y1S7JL,2022-03-20 16:59:51,赌两个币，这40分钟能抵上你看1000个装修视频！,2528,781657,2945,988,135052,67561,9943,62922,96781097,装酷装修APP,65348,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划",BV1pS4y137Hx,2022-03-15 19:57:12,沉浸式体验这些走心设计，每一个都超赞超好用,76,773302,233,204,9247,369,592,14654,401929486,wuli-设计姐,22289,1080,1920,Y
